algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRFQI,BlackScholes,StepB_BasketCall,0.05,0.25,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,120,120,80,0.95,2,,0,2,-2,2,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.4885392171242624,2.538818597793579,0.14609956741333008,2.392719030380249,,,,,,central,,0.61698

SRFQI,BlackScholes,StepB_BasketCall,0.05,0.25,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,120,120,80,0.95,2,,0,2,-2,2,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.4492635299283534,2.5103204250335693,0.1827559471130371,2.3275644779205322,,,,,,central,,0.64344

SRFQI,BlackScholes,StepB_BasketCall,0.05,0.25,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,120,120,80,0.95,2,,0,2,-2,2,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.462345137280025,2.497117280960083,0.1815633773803711,2.315553903579712,,,,,,central,,0.6334599999999999

SRFQI,BlackScholes,StepB_BasketCall,0.05,0.25,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,120,120,80,0.95,2,,0,2,-2,2,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.2973873021642768,2.7130813598632812,0.18481206893920898,2.5282692909240723,,,,,,central,,0.7339

SRFQI,BlackScholes,StepB_BasketCall,0.05,0.25,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,120,120,80,0.95,2,,0,2,-2,2,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.5020017846130886,2.5580039024353027,0.18920636177062988,2.368797540664673,,,,,,central,,0.6201

SRFQI,BlackScholes,StepB_BasketPut,0.05,0.25,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,120,120,80,0.95,2,,-2,0,-2,2,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,2.4332363605499268,0.1618366241455078,2.271399736404419,,,,,,central,,1.0

SRFQI,BlackScholes,StepB_BasketPut,0.05,0.25,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,120,120,80,0.95,2,,-2,0,-2,2,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,2.516838550567627,0.15659213066101074,2.360246419906616,,,,,,central,,1.0

