algo,model,payoff,drift,risk_free_rate,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RFQI,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.848381820577176,1.4600539207458496,0.023615598678588867,1.4364383220672607,,,,,,central,,1.0

RFQI,BlackScholes,BasketCall,0.05,0.02,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.624369907433094,1.3262834548950195,0.018138408660888672,1.3081450462341309,,,,,,central,,0.9998799999999999

RFQI,BlackScholes,BasketCall,0.05,0.02,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.276473507056007,1.336784839630127,0.02370142936706543,1.3130834102630615,,,,,,central,,0.99016

RFQI,BlackScholes,BasketCall,0.05,0.02,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.328126151509435,1.1898536682128906,0.015951871871948242,1.1739017963409424,,,,,,central,,1.0

RFQI,BlackScholes,BasketCall,0.05,0.03,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.210247633346706,1.3678174018859863,0.016974687576293945,1.3508427143096924,,,,,,central,,1.0

RFQI,BlackScholes,BasketCall,0.05,0.03,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.557852991493302,1.3241019248962402,0.01398611068725586,1.3101158142089844,,,,,,central,,1.0

RFQI,BlackScholes,BasketCall,0.05,0.03,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.632745468445831,1.3441057205200195,0.015263080596923828,1.3288426399230957,,,,,,central,,1.0

