algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.0689829497361405,6.164604663848877,0.03968071937561035,6.124923944473267,,,,,,central,,0.6854416666666667

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.982108087882823,6.131746053695679,0.037958383560180664,6.093787670135498,,,,,,central,,0.725625

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.19457194515742,6.2147746086120605,0.032778263092041016,6.1819963455200195,,,,,,central,,0.7208583333333334

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.067079039964469,6.122791051864624,0.03694319725036621,6.085847854614258,,,,,,central,,0.7286583333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.003122333357617,6.176719665527344,0.03947877883911133,6.137240886688232,,,,,,central,,0.6901333333333334

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.060607309921633,6.277696371078491,0.032713890075683594,6.244982481002808,,,,,,central,,0.687475

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.11785261677848,6.1842427253723145,0.03929018974304199,6.1449525356292725,,,,,,central,,0.6858166666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.936989249995272,6.1871654987335205,0.0393223762512207,6.1478431224823,,,,,,central,,0.7181166666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.981739698285633,6.0700743198394775,0.03944087028503418,6.030633449554443,,,,,,central,,0.7388083333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,100,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.991931419151764,6.2948997020721436,0.0533907413482666,6.241508960723877,,,,,,central,,0.7328

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.102525325472582,6.210209846496582,0.03657245635986328,6.173637390136719,,,,,,central,,0.6954333333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.1242428685320816,6.123232841491699,0.04339909553527832,6.079833745956421,,,,,,central,,0.6867

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.980663601427032,6.153178453445435,0.036801815032958984,6.116376638412476,,,,,,central,,0.6889416666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.083174724484277,6.196303844451904,0.03471994400024414,6.16158390045166,,,,,,central,,0.6897833333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.041603448970047,6.130401849746704,0.03583383560180664,6.0945680141448975,,,,,,central,,0.6784

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.9939134195277965,6.142349481582642,0.03513073921203613,6.1072187423706055,,,,,,central,,0.72675

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.095520001952102,6.091054439544678,0.04021644592285156,6.050837993621826,,,,,,central,,0.7166166666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.9878144547526215,6.217536211013794,0.03309035301208496,6.184445858001709,,,,,,central,,0.69065

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.050040021660729,5.823859930038452,0.0368344783782959,5.787025451660156,,,,,,central,,0.7300166666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,105,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.9475086916969016,6.09909200668335,0.040762901306152344,6.058329105377197,,,,,,central,,0.7297583333333334

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.156391362992255,6.279911756515503,0.037764549255371094,6.242147207260132,,,,,,central,,0.6900416666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.139230505055265,6.259523630142212,0.03453636169433594,6.224987268447876,,,,,,central,,0.7097583333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.99425352347667,6.132006406784058,0.03455471992492676,6.097451686859131,,,,,,central,,0.7037166666666667

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.9787111410712,6.380224704742432,0.03783297538757324,6.342391729354858,,,,,,central,,0.6983666666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,110,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.117932518001087,6.274019241333008,0.030321121215820312,6.2436981201171875,,,,,,central,,0.72495

