algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,k,notional,leverage,barrier_stop_loss,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.47586894035339355,0.2521216869354248,0.22374725341796875,,,,,,central,,0.13383333333333336

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.4949798583984375,0.24333786964416504,0.25164198875427246,,,,,,central,,0.1507444444444445

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.7521157575515987,0.3998889923095703,0.1614847183227539,0.2384042739868164,,,,,,central,,0.2655

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.9358013024354679,0.42807745933532715,0.17284941673278809,0.25522804260253906,,,,,,central,,0.4158666666666666

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.8201746539758927,0.5576493740081787,0.24495244026184082,0.3126969337463379,,,,,,central,,0.39032222222222224

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.3303772079745166,0.4050729274749756,0.1740553379058838,0.2310175895690918,,,,,,central,,0.15382222222222222

SRLSM,BlackScholes,StepBarrierCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.5748648871963744,0.44677042961120605,0.15393519401550293,0.2928352355957031,,,,,,central,,0.2219

